country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
Tokelau,8,8,1.0,0.5625,,0.375,,,,,,,,0.0625,,,,
French Polynesia,9759,10000,0.9759,0.92700363727580581,,0.0023830427693465445,0.00037626991094945442,0.011664367239433086,0.00075253982189890883,0.00037626991094945442,0.00018813495547472721,,,0.057067603160667252,,,,0.00018813495547472721
Guadeloupe,9649,10000,0.9649,0.98663618779672935,,0.0028134341480569721,0.00061543871988746263,0.0012308774397749253,0.0014067170740284861,0.00052751890276068222,0.00017583963425356076,,8.7919817126780379e-05,0.0038684719535783366,,,,0.0026375945138034113
Mayotte,2488,2592,0.95987654320987659,0.98967551622418881,,0.0022123893805309734,0.0003687315634218289,,0.0029498525073746312,0.0018436578171091445,0.0018436578171091445,,,0.0011061946902654867,,,,
Cape Verde,9576,10000,0.9576,0.81693346483574847,,0.0010621348911311736,7.5866777937940976e-05,7.5866777937940976e-05,0.00037933388968970486,7.5866777937940976e-05,7.5866777937940976e-05,,,0.18048706471436157,,,,0.00083453455731735075
Suriname,9550,10000,0.955,0.98857091432685384,,0.0016198704103671706,0.00017998560115190784,0.00206983441324694,0.0030597552195824333,0.0009899208063354932,0.0013498920086393088,,,0.0016198704103671706,,,,0.00053995680345572358
Guernsey,9355,10000,0.9355,0.98901322482197351,,0.0014242115971515768,0.0001017293997965412,0.0076297049847405905,0.00020345879959308239,0.0001017293997965412,0.0001017293997965412,,,0.0014242115971515768,,,,
Isle of Man,9220,10000,0.922,0.98013892965463267,,0.0026416201937188143,0.00068486449466784074,0.0070443205165835049,0.004011349183054496,0.0020545934840035221,0.0013697289893356815,,,0.0020545934840035221,,,,
Guyana,9155,10000,0.9155,0.99192100538599637,,0.0053859964093357273,0.00037402752842609214,0.00044883303411131061,0.00044883303411131061,0.00029922202274087372,7.480550568521843e-05,,0.00014961101137043686,0.00067324955116696591,,,,0.0002244165170556553
Andorra,9150,10000,0.915,0.98854104254044339,,0.0034451767525464352,0.0011983223487118035,,0.0028460155781905331,0.0013481126423007788,0.00089874176153385257,,7.4895146794487719e-05,0.0013481126423007788,,,,0.00029958058717795088
Barbados,9055,10000,0.9055,0.99190715181932243,,0.00520702634880803,0.00031367628607277288,0.0005018820577164366,0.00062735257214554575,0.0002509410288582183,,,,0.001191969887076537,,,,
Reunion,9054,10000,0.9054,0.98113501714998441,,0.0056906766448394141,0.000545681322107889,0.0018709073900841909,0.0020268163392578734,0.0012472715933894605,0.00031181789834736512,,7.7954474586841281e-05,0.0053009042719052071,,,,0.0017929529154973496
